Open,High,Low,Close,Volume,Dividends,Stock Splits
112.3,112.3,112.3,112.3,0,0,0
111.35,111.35,111.35,111.35,0,0,0
111.77,111.77,111.77,111.77,0,0,0
111.68,111.68,111.68,111.68,0,0,0
111.06,111.06,111.06,111.06,0,0,0
110.66,110.66,110.66,110.66,0,0,0
110.15,110.15,110.15,110.15,0,0,0
110.33,110.33,110.33,110.33,0,0,0
110.37,110.37,110.37,110.37,0,0,0
110.55,110.55,110.55,110.55,0,0,0
110.74,110.74,110.74,110.74,0,0,0
109.15,109.15,109.15,109.15,0,0,0
108.4,108.4,108.4,108.4,0,0,0
108.33,108.33,108.33,108.33,0,0,0
108.72,108.72,108.72,108.72,0,0,0
108.85,108.85,108.85,108.85,0,0,0
108.42,108.42,108.42,108.42,0,0,0
107.5,107.5,107.5,107.5,0,0,0
107.53,107.53,107.53,107.53,0,0,0
107.6,107.6,107.6,107.6,0,0,0
108.25,108.25,108.25,108.25,0,0,0
108.87,108.87,108.87,108.87,0,0,0
109.56,109.56,109.56,109.56,0,0,0
110.22,110.22,110.22,110.22,0,0,0
110.66,110.66,110.66,110.66,0,0,0
110.76,110.76,110.76,110.76,0,0,0
110.02,110.02,110.02,110.02,0,0,0
109.79,109.79,109.79,109.79,0,0,0
110.06,110.06,110.06,110.06,0,0,0
110.2,110.2,110.2,110.2,0,0,0
109.57,109.57,109.57,109.57,0,0,0
109.36,109.36,109.36,109.36,0,0,0
109.44,109.44,109.44,109.44,0,0,0
109.44,109.44,109.44,109.44,0,0,0
108.16,108.16,108.16,108.16,0,0,0
106.5,106.5,106.5,106.5,0,0,0
105.49,105.49,105.49,105.49,0,0,0
105.99,105.99,105.99,105.99,0,0,0
106.37,106.37,106.37,106.37,0,0,0
106.56,106.56,106.56,106.56,0,0,0
106.45,106.45,106.45,106.45,0,0,0
107.22,107.22,107.22,107.22,0,0,0
107.8,107.8,107.8,107.8,0,0,0
108.47,108.47,108.47,108.47,0,0,0
108.77,108.77,108.77,108.77,0,0,0
109.23,109.23,109.23,109.23,0,0,0
110.01,110.01,110.01,110.01,0,0,0
110.42,110.42,110.42,110.42,0,0,0
110.91,110.91,110.91,110.91,0,0,0
111.24,111.24,111.24,111.24,0,0,0
110.76,110.76,110.76,110.76,0,0,0
110.34,110.34,110.34,110.34,0,0,0
110.72,110.72,110.72,110.72,0,0,0
109.98,109.98,109.98,109.98,0,0,0
109.37,109.37,109.37,109.37,0,0,0
109.79,109.79,109.79,109.79,0,0,0
109.74,109.74,109.74,109.74,0,0,0
109.54,109.54,109.54,109.54,0,0,0
109.63,109.63,109.63,109.63,0,0,0
109.35,109.35,109.35,109.35,0,0,0
108.57,108.57,108.57,108.57,0,0,0
107.45,107.45,107.45,107.45,0,0,0
105.81,105.81,105.81,105.81,0,0,0
105.27,105.27,105.27,105.27,0,0,0
105.59,105.59,105.59,105.59,0,0,0
104.41,104.41,104.41,104.41,0,0,0
103.26,103.26,103.26,103.26,0,0,0
103.11,103.11,103.11,103.11,0,0,0
103.78,103.78,103.78,103.78,0,0,0
103.18,103.18,103.18,103.18,0,0,0
103.04,103.04,103.04,103.04,0,0,0
104.08,104.08,104.08,104.08,0,0,0
105.21,105.21,105.21,105.21,0,0,0
105.44,105.44,105.44,105.44,0,0,0
107.86,107.86,107.86,107.86,0,0,0
108.93,108.93,108.93,108.93,0,0,0
108.39,108.39,108.39,108.39,0,0,0
108.01,108.01,108.01,108.01,0,0,0
107.89,107.89,107.89,107.89,0,0,0
108.26,108.26,108.26,108.26,0,0,0
108.6,108.6,108.6,108.6,0,0,0
108.85,108.85,108.85,108.85,0,0,0
108.97,108.97,108.97,108.97,0,0,0
109.3,109.3,109.3,109.3,0,0,0
108.71,108.71,108.71,108.71,0,0,0
108.42,108.42,108.42,108.42,0,0,0
108.65,108.65,108.65,108.65,0,0,0
108.96,108.96,108.96,108.96,0,0,0
109.98,109.98,109.98,109.98,0,0,0
110.53,110.53,110.53,110.53,0,0,0
110.58,110.58,110.58,110.58,0,0,0
110.55,110.55,110.55,110.55,0,0,0
